"觀測時間(hour)","測站氣壓(hPa)","氣溫(℃)","相對溼度(%)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","降水量(mm)"
"ObsTime","StnPres","Temperature","RH","WS","WD","WSGust","WDGust","Precp"
"01","1007.0","28.7","100","0.0","0","2.5","339","0.0"
"02","1006.8","28.5","100","0.2","0","1.6","351","0.0"
"03","1006.3","28.3","100","0.0","0","1.8","360","0.0"
"04","1006.8","28.3","100","0.0","0","0.0","0","0.0"
"05","1006.7","28.2","100","0.0","0","1.6","342","0.0"
"06","1006.7","28.1","100","0.4","78","1.4","78","0.0"
"07","1007.6","28.6","100","0.0","0","0.7","79","0.0"
"08","1007.9","29.8","100","0.0","0","0.7","81","0.0"
"09","1008.1","30.1","100","0.0","0","0.0","0","0.0"
"10","1008.2","30.5","95","1.0","332","2.7","335","0.0"
"11","1008.1","31.2","89","1.2","343","3.9","7","0.0"
"12","1007.5","31.6","87","2.1","333","4.5","342","0.0"
"13","1006.4","32.4","86","2.1","336","4.7","301","0.0"
"14","1005.7","31.6","88","2.8","329","5.4","328","0.0"
"15","1005.5","31.3","91","2.3","332","6.0","349","0.0"
"16","1005.4","31.0","92","2.5","337","5.7","344","0.0"
"17","1005.7","30.8","90","1.3","350","6.0","355","0.0"
"18","1006.0","30.0","93","0.9","4","4.9","328","0.0"
"19","1006.5","29.5","95","1.5","351","5.1","339","0.0"
"20","1006.5","29.5","95","1.0","359","4.3","23","0.0"
"21","1006.8","29.3","95","1.1","330","3.0","336","0.0"
"22","1006.8","29.2","95","0.2","0","3.1","350","0.0"
"23","1006.2","28.9","95","1.4","347","3.0","346","0.0"
"24","1005.9","28.6","96","0.7","342","3.0","347","0.0"
