"Datetime","Temperature","Humidity","WindSpeed","Rain","Weather"
2020-01-01,16.4,77,4.1,15.8,"Rain"
2020-01-01 01:00:00,19.7,61,4.6,3.6,"Cloudy"
2020-01-01 02:00:00,37.6,54,3.1,2.5,"Rain"
2020-01-01 03:00:00,22.7,85,2.1,2.8,"Fog"
2020-01-01 04:00:00,23.3,95,6.3,2.7,"Rain"
2020-01-01 05:00:00,39.2,80,4,4.4,"Cloudy"
2020-01-01 06:00:00,26.6,61,5.5,1.8,"Cloudy"
2020-01-01 07:00:00,9.3,76,6.9,3,"Fog"
2020-01-01 08:00:00,15.1,90,3.3,0.7,"Rain"
2020-01-01 09:00:00,17.5,59,4.3,2.2,"Windy"
2020-01-01 10:00:00,34.2,57,4.4,5,"Fog"
2020-01-01 11:00:00,25.6,80,7.2,0.8,"Fog"
2020-01-01 12:00:00,26,75,3.4,6,"Sunny"
2020-01-01 13:00:00,23.1,82,5.6,0.2,"Fog"
2020-01-01 14:00:00,16.4,72,5.3,2.9,"Windy"
2020-01-01 15:00:00,39.9,75,4.7,2.5,"Windy"
2020-01-01 16:00:00,27,53,3.3,1.8,"Fog"
2020-01-01 17:00:00,2.3,54,4.4,8.3,"Thunderstorm"
2020-01-01 18:00:00,29,67,5,3.5,"Thunderstorm"
2020-01-01 19:00:00,17.3,85,2.2,6.7,"Thunderstorm"
2020-01-01 20:00:00,11.3,97,8.7,1,"Thunderstorm"
2020-01-01 21:00:00,19.8,52,4.4,12.1,"Rain"
2020-01-01 22:00:00,11.7,92,4,2.5,"Rain"
2020-01-01 23:00:00,14.7,55,7.3,13.3,"Fog"
2020-01-02,15.7,71,4.9,1.7,"Cloudy"
2020-01-02 01:00:00,5.1,92,6.9,3.4,"Sunny"
2020-01-02 02:00:00,30.4,39,5.5,5.7,"Thunderstorm"
2020-01-02 03:00:00,23.5,82,7,1.5,"Thunderstorm"
2020-01-02 04:00:00,10.6,55,4.7,1.9,"Thunderstorm"
2020-01-02 05:00:00,34.5,41,3.6,8.6,"Fog"
2020-01-02 06:00:00,26.3,67,6.1,1.4,"Windy"
2020-01-02 07:00:00,19,56,3.6,1.4,"Cloudy"
2020-01-02 08:00:00,31,100,2.6,5.6,"Windy"
2020-01-02 09:00:00,30.8,88,3.5,8.1,"Sunny"
2020-01-02 10:00:00,30.2,69,2.5,5.6,"Thunderstorm"
2020-01-02 11:00:00,28.9,78,5.9,0.8,"Sunny"
2020-01-02 12:00:00,27.5,60,0.7,6.3,"Cloudy"
2020-01-02 13:00:00,21.4,33,1.4,1.7,"Fog"
2020-01-02 14:00:00,18.9,68,4.1,1.6,"Cloudy"
2020-01-02 15:00:00,18.2,46,8.3,3.9,"Sunny"
2020-01-02 16:00:00,15.1,32,6.2,2.8,"Fog"
2020-01-02 17:00:00,19.9,45,5.2,2.7,"Windy"
2020-01-02 18:00:00,9.3,45,5.3,5.3,"Cloudy"
2020-01-02 19:00:00,43.7,73,7.1,5.3,"Thunderstorm"
2020-01-02 20:00:00,34.1,63,3.8,0.7,"Windy"
2020-01-02 21:00:00,10.8,83,7.5,2.7,"Rain"
2020-01-02 22:00:00,18,68,4.3,7.3,"Fog"
2020-01-02 23:00:00,17.3,60,6.3,2.5,"Thunderstorm"
2020-01-03,29.8,49,5.3,5.1,"Rain"
2020-01-03 01:00:00,21.2,90,4.5,2.8,"Sunny"
2020-01-03 02:00:00,24.5,94,6.9,1.8,"Sunny"
2020-01-03 03:00:00,21.7,54,7,3,"Sunny"
2020-01-03 04:00:00,21.6,74,9.4,6.5,"Rain"
2020-01-03 05:00:00,35.7,47,5,3.2,"Thunderstorm"
2020-01-03 06:00:00,19.7,59,3.8,0.6,"Cloudy"
2020-01-03 07:00:00,37.2,62,5.6,4,"Fog"
2020-01-03 08:00:00,6.5,66,4.3,19.9,"Thunderstorm"
2020-01-03 09:00:00,27.8,90,6.3,10.3,"Windy"
2020-01-03 10:00:00,23.2,57,6,13.1,"Thunderstorm"
2020-01-03 11:00:00,24.2,49,2.9,5.7,"Sunny"
2020-01-03 12:00:00,25.8,78,5.5,9.2,"Sunny"
2020-01-03 13:00:00,17,69,2.9,7.2,"Windy"
2020-01-03 14:00:00,18.7,60,4.8,14.6,"Windy"
2020-01-03 15:00:00,11.8,42,1.6,11,"Windy"
2020-01-03 16:00:00,11.3,72,7.5,15.5,"Sunny"
2020-01-03 17:00:00,25,97,3.7,6,"Sunny"
2020-01-03 18:00:00,26.5,95,4.1,1.6,"Windy"
2020-01-03 19:00:00,22.5,86,5.1,13,"Sunny"
2020-01-03 20:00:00,31.2,94,5.2,2.8,"Rain"
2020-01-03 21:00:00,42.5,37,5.6,1.5,"Rain"
2020-01-03 22:00:00,17.1,43,6.1,5.4,"Cloudy"
2020-01-03 23:00:00,-1.1,84,7.2,4,"Cloudy"
2020-01-04,32.1,46,4,17.7,"Cloudy"
2020-01-04 01:00:00,14.9,65,3.9,3.1,"Windy"
2020-01-04 02:00:00,15.1,96,7.4,5.5,"Sunny"
2020-01-04 03:00:00,32.3,87,5.6,5.4,"Sunny"
2020-01-04 04:00:00,19.2,85,4.4,0.8,"Fog"
2020-01-04 05:00:00,9.8,93,6.1,2.7,"Fog"
2020-01-04 06:00:00,23.8,99,1.5,10,"Sunny"
2020-01-04 07:00:00,20.6,71,6.5,1.1,"Fog"
2020-01-04 08:00:00,22.1,93,5.4,7.4,"Cloudy"
2020-01-04 09:00:00,25.9,39,7.1,10.3,"Thunderstorm"
2020-01-04 10:00:00,18.3,58,8.3,0.1,"Sunny"
2020-01-04 11:00:00,28.4,49,4.8,13,"Windy"
2020-01-04 12:00:00,19.8,98,4.2,3.5,"Rain"
2020-01-04 13:00:00,25.3,90,7.2,6.5,"Windy"
2020-01-04 14:00:00,33,55,2.2,1.8,"Cloudy"
2020-01-04 15:00:00,26.4,73,9.4,4.4,"Thunderstorm"
2020-01-04 16:00:00,18.7,33,5.6,4.8,"Thunderstorm"
2020-01-04 17:00:00,33.5,96,7.2,3.1,"Thunderstorm"
2020-01-04 18:00:00,31.9,60,4.4,2.7,"Fog"
2020-01-04 19:00:00,27.5,41,5.3,2.7,"Sunny"
2020-01-04 20:00:00,24.4,47,6.8,20,"Rain"
2020-01-04 21:00:00,15.7,69,3.6,2.8,"Rain"
2020-01-04 22:00:00,35.6,94,5.2,0.6,"Thunderstorm"
2020-01-04 23:00:00,16,67,1,4.5,"Sunny"
2020-01-05,43.9,64,6.1,4.6,"Cloudy"
2020-01-05 01:00:00,37.3,76,4.8,3,"Thunderstorm"
2020-01-05 02:00:00,19.6,48,3.9,3.7,"Sunny"
2020-01-05 03:00:00,11.7,69,8.2,9.2,"Sunny"
2020-01-05 04:00:00,14.9,83,3.9,0.5,"Windy"
2020-01-05 05:00:00,24.6,72,2.7,3.8,"Windy"
2020-01-05 06:00:00,19.5,59,5.4,2.8,"Fog"
2020-01-05 07:00:00,18.5,68,2.7,2.6,"Fog"
2020-01-05 08:00:00,12.5,80,6,0.7,"Thunderstorm"
2020-01-05 09:00:00,21.5,31,6.8,4,"Sunny"
2020-01-05 10:00:00,14.2,57,4.4,4,"Fog"
2020-01-05 11:00:00,5.3,65,4.7,4.4,"Rain"
2020-01-05 12:00:00,18.2,77,3.6,0.2,"Fog"
2020-01-05 13:00:00,31.2,93,1.2,2.4,"Thunderstorm"
2020-01-05 14:00:00,16.2,58,7.1,1.5,"Cloudy"
2020-01-05 15:00:00,28.1,75,5.2,0,"Sunny"
2020-01-05 16:00:00,5.8,36,4.8,4.8,"Sunny"
2020-01-05 17:00:00,21.4,85,4,1,"Thunderstorm"
2020-01-05 18:00:00,27.2,93,9.1,2.5,"Rain"
2020-01-05 19:00:00,25,79,3,0.7,"Rain"
2020-01-05 20:00:00,23.1,84,3.9,0.6,"Thunderstorm"
2020-01-05 21:00:00,15.6,59,2.3,18.2,"Fog"
2020-01-05 22:00:00,13.5,34,3.7,2.6,"Fog"
2020-01-05 23:00:00,11.8,31,0.6,7.9,"Thunderstorm"
2020-01-06,23.2,38,3.9,7.2,"Rain"
2020-01-06 01:00:00,12.5,51,5.5,21.4,"Windy"
2020-01-06 02:00:00,17.1,94,2.2,12.3,"Windy"
2020-01-06 03:00:00,19.4,49,7.3,1.5,"Thunderstorm"
2020-01-06 04:00:00,40.4,48,4,6.3,"Rain"
2020-01-06 05:00:00,15.5,81,2.5,9.1,"Fog"
2020-01-06 06:00:00,24.4,66,0.7,6.5,"Windy"
2020-01-06 07:00:00,22.8,59,3,0.7,"Sunny"
2020-01-06 08:00:00,12.4,85,8.2,12.7,"Thunderstorm"
2020-01-06 09:00:00,21.3,34,6.3,2,"Sunny"
2020-01-06 10:00:00,36.4,49,8,6.1,"Rain"
2020-01-06 11:00:00,26.5,60,5.7,1.2,"Fog"
2020-01-06 12:00:00,22.4,98,4.5,2.9,"Thunderstorm"
2020-01-06 13:00:00,17.8,78,4,15.1,"Sunny"
2020-01-06 14:00:00,1.5,90,3,17.7,"Windy"
