Datetime,Temperature,Humidity,WindSpeed,Rain,Weather
2020-01-01T00:00:00Z,16.4,77,4.1,15.8,Rain
2020-01-01T01:00:00Z,19.7,61,4.6,3.6,Cloudy
2020-01-01T02:00:00Z,37.6,54,3.1,2.5,Rain
2020-01-01T03:00:00Z,22.7,85,2.1,2.8,Fog
2020-01-01T04:00:00Z,23.3,95,6.3,2.7,Rain
2020-01-01T05:00:00Z,39.2,80,4,4.4,Cloudy
2020-01-01T06:00:00Z,26.6,61,5.5,1.8,Cloudy
2020-01-01T07:00:00Z,9.3,76,6.9,3,Fog
2020-01-01T08:00:00Z,15.1,90,3.3,0.7,Rain
2020-01-01T09:00:00Z,17.5,59,4.3,2.2,Windy
2020-01-01T10:00:00Z,34.2,57,4.4,5,Fog
2020-01-01T11:00:00Z,25.6,80,7.2,0.8,Fog
2020-01-01T12:00:00Z,26,75,3.4,6,Sunny
2020-01-01T13:00:00Z,23.1,82,5.6,0.2,Fog
2020-01-01T14:00:00Z,16.4,72,5.3,2.9,Windy
2020-01-01T15:00:00Z,39.9,75,4.7,2.5,Windy
2020-01-01T16:00:00Z,27,53,3.3,1.8,Fog
2020-01-01T17:00:00Z,2.3,54,4.4,8.3,Thunderstorm
2020-01-01T18:00:00Z,29,67,5,3.5,Thunderstorm
2020-01-01T19:00:00Z,17.3,85,2.2,6.7,Thunderstorm
2020-01-01T20:00:00Z,11.3,97,8.7,1,Thunderstorm
2020-01-01T21:00:00Z,19.8,52,4.4,12.1,Rain
2020-01-01T22:00:00Z,11.7,92,4,2.5,Rain
2020-01-01T23:00:00Z,14.7,55,7.3,13.3,Fog
2020-01-02T00:00:00Z,15.7,71,4.9,1.7,Cloudy
2020-01-02T01:00:00Z,5.1,92,6.9,3.4,Sunny
2020-01-02T02:00:00Z,30.4,39,5.5,5.7,Thunderstorm
2020-01-02T03:00:00Z,23.5,82,7,1.5,Thunderstorm
2020-01-02T04:00:00Z,10.6,55,4.7,1.9,Thunderstorm
2020-01-02T05:00:00Z,34.5,41,3.6,8.6,Fog
2020-01-02T06:00:00Z,26.3,67,6.1,1.4,Windy
2020-01-02T07:00:00Z,19,56,3.6,1.4,Cloudy
2020-01-02T08:00:00Z,31,100,2.6,5.6,Windy
2020-01-02T09:00:00Z,30.8,88,3.5,8.1,Sunny
2020-01-02T10:00:00Z,30.2,69,2.5,5.6,Thunderstorm
2020-01-02T11:00:00Z,28.9,78,5.9,0.8,Sunny
2020-01-02T12:00:00Z,27.5,60,0.7,6.3,Cloudy
2020-01-02T13:00:00Z,21.4,33,1.4,1.7,Fog
2020-01-02T14:00:00Z,18.9,68,4.1,1.6,Cloudy
2020-01-02T15:00:00Z,18.2,46,8.3,3.9,Sunny
2020-01-02T16:00:00Z,15.1,32,6.2,2.8,Fog
2020-01-02T17:00:00Z,19.9,45,5.2,2.7,Windy
2020-01-02T18:00:00Z,9.3,45,5.3,5.3,Cloudy
