里別,性別,零歲,一歲,二歲,三歲,四歲,五歲,六歲,七歲,八歲,九歲,十歲,十一歲,十二歲,十三歲,十四歲,十五歲,十六歲,十七歲,十八歲,十九歲,二十歲,二一歲,二二歲,二三歲,二四歲,二五歲,二六歲,二七歲,二八歲,二九歲,三十歲,三一歲,三二歲,三三歲,三四歲,三五歲,三六歲,三七歲,三八歲,三九歲,四十歲,四一歲,四二歲,四三歲,四四歲,四五歲,四六歲,四七歲,四八歲,四九歲,五十歲,五一歲,五二歲,五三歲,五四歲,五五歲,五六歲,五七歲,五八歲,五九歲,六十歲,六一歲,六二歲,六三歲,六四歲,六五歲,六六歲,六七歲,六八歲,六九歲,七十歲,七一歲,七二歲,七三歲,七四歲,七五歲,七六歲,七七歲,七八歲,七九歲,八十歲,八一歲,八二歲,八三歲,八四歲,八五歲,八六歲,八七歲,八八歲,八九歲,九十歲,九一歲,九二歲,九三歲,九四歲,九五歲,九六歲,九七歲,九八歲,九九歲,一百歲以上
興和里,男,7,2,7,8,8,5,16,10,11,7,11,5,6,4,5,6,6,4,7,7,9,11,8,9,10,11,6,12,11,16,9,10,10,7,4,13,9,10,13,14,14,13,11,7,10,16,17,11,10,10,12,10,11,6,14,6,6,10,15,11,7,15,10,12,18,14,17,10,12,12,12,14,9,16,5,6,3,5,6,6,4,4,5,4,3,4,7,3,3,4,1,1,0,0,0,0,0,0,0,0,1
興和里,女,0,5,5,6,9,9,10,12,10,5,5,4,4,6,5,8,8,8,8,6,10,10,5,10,5,4,10,11,9,8,11,11,15,12,14,7,8,13,14,14,10,10,8,13,15,16,10,7,14,9,13,9,9,7,13,5,16,7,11,12,16,15,8,8,12,12,18,15,16,13,16,12,15,13,12,10,5,6,6,2,8,11,11,5,3,4,4,3,2,2,0,1,4,1,2,1,2,0,0,0,1
福仁里,男,6,5,1,6,3,4,6,9,9,8,12,8,1,3,4,6,4,4,6,4,1,7,7,3,7,9,9,13,9,8,8,3,8,6,10,5,7,9,9,10,3,5,12,8,4,4,11,11,9,11,10,9,8,9,12,6,9,16,11,9,9,7,12,5,6,5,5,4,8,9,8,7,6,6,8,4,2,3,3,1,7,3,2,3,4,5,3,4,1,1,3,0,1,3,0,0,0,1,1,0,0
福仁里,女,1,4,2,3,4,2,5,7,6,9,3,6,7,3,6,4,6,2,4,4,8,8,9,6,4,8,7,11,5,5,4,7,8,4,6,8,6,5,4,7,6,11,4,6,6,4,4,8,8,11,12,11,5,3,13,5,10,8,1,6,11,8,7,1,5,4,9,8,9,10,12,6,10,5,7,2,5,4,8,3,4,2,8,4,1,4,6,6,5,2,0,0,1,0,1,2,0,0,1,0,0
一心里,男,18,24,18,26,21,24,30,25,29,36,29,19,27,28,24,28,20,41,24,30,33,33,48,47,39,51,51,41,37,50,46,50,57,56,46,49,40,44,37,39,48,45,34,42,31,45,43,31,39,43,41,23,36,43,53,48,35,41,41,41,58,48,49,52,45,30,34,30,34,28,34,38,10,14,16,19,4,7,10,9,9,4,9,15,6,4,3,4,7,12,2,2,1,3,1,1,2,0,0,0,1
一心里,女,22,26,26,20,20,10,23,26,24,21,29,16,20,26,14,25,25,19,25,22,25,20,36,35,38,43,51,61,42,44,44,42,40,36,40,30,30,40,47,33,45,43,43,49,34,50,50,37,39,37,30,41,44,42,45,51,50,54,52,53,50,55,38,48,35,34,36,37,32,32,28,21,17,27,20,16,8,6,11,14,16,12,9,10,12,12,7,5,11,1,2,5,4,4,1,0,0,2,0,0,0
一德里,男,28,19,28,27,17,38,28,37,31,25,39,26,16,18,36,21,24,31,37,35,45,58,43,59,64,63,71,51,48,53,55,44,44,59,48,28,46,46,50,42,49,55,54,56,51,42,49,37,46,49,56,40,58,49,37,51,59,43,52,43,36,42,61,41,51,43,41,37,28,35,41,23,26,21,19,14,14,15,13,15,14,11,12,12,6,8,3,0,4,1,1,1,5,2,2,0,1,0,0,0,0
一德里,女,15,16,22,25,19,21,30,32,24,30,34,26,26,18,29,32,23,29,35,28,36,51,50,45,47,53,46,53,50,55,43,36,50,41,51,39,44,62,59,45,65,52,49,48,43,48,56,56,51,55,51,49,49,54,45,35,52,58,35,67,54,50,44,44,52,41,44,41,35,38,39,33,25,24,19,25,20,10,13,6,17,15,18,14,12,8,9,4,5,6,2,4,7,1,4,1,1,5,0,1,2
月眉里,男,5,6,2,2,6,6,8,5,3,4,11,5,2,4,7,4,6,3,6,7,4,7,19,15,10,18,16,7,10,5,10,16,12,18,11,6,11,10,6,12,10,13,7,14,7,10,16,9,8,8,12,7,14,13,14,6,11,18,11,14,12,17,14,21,13,3,18,9,9,8,9,9,11,1,7,5,0,3,3,1,2,3,6,2,6,1,3,4,1,1,0,2,1,0,0,0,0,0,0,0,0
月眉里,女,5,3,8,1,4,4,8,9,6,7,8,1,4,6,2,6,7,3,9,5,6,5,12,10,12,6,8,6,10,13,8,6,15,3,13,10,11,11,5,14,6,12,14,8,12,8,5,9,14,7,9,12,11,3,11,8,13,9,12,16,16,9,7,6,8,3,10,9,7,11,5,5,8,5,3,3,4,2,4,4,3,1,6,5,3,5,2,5,1,2,1,6,0,1,0,0,1,0,1,0,0
永福里,男,0,1,4,6,4,2,4,0,1,2,2,3,1,2,0,0,3,4,6,3,1,4,11,4,6,4,5,6,5,9,6,9,10,8,6,6,1,3,8,7,9,13,6,6,6,10,9,7,3,8,7,9,8,5,14,15,12,15,9,13,10,9,13,19,17,5,11,14,9,8,10,14,8,5,4,6,3,5,3,4,8,1,5,2,1,3,2,1,1,1,3,4,0,0,0,1,1,0,0,0,0
永福里,女,8,2,2,4,1,1,1,3,2,1,1,2,2,0,5,2,2,2,5,1,3,7,3,3,5,4,2,4,3,12,5,5,1,7,3,6,5,5,8,4,5,6,7,6,10,8,7,5,5,7,2,5,5,9,9,9,11,5,5,8,6,8,9,10,9,10,7,10,15,9,6,9,3,4,4,1,2,2,4,5,4,4,7,1,2,6,2,4,3,2,3,3,1,0,0,2,0,0,0,0,0
美華里,男,14,12,12,11,15,11,13,5,16,7,16,9,11,12,11,11,13,9,12,13,22,13,15,20,32,30,26,35,27,28,38,35,25,28,25,27,18,15,23,32,25,38,30,21,34,26,25,18,32,24,24,24,42,29,32,32,31,36,27,33,31,45,35,37,26,34,17,26,27,26,19,25,13,18,12,10,10,8,8,10,10,9,5,4,2,2,2,6,4,2,3,3,0,2,1,1,1,0,2,0,0
美華里,女,12,14,11,12,14,10,8,6,6,8,7,10,9,11,11,18,14,11,13,18,24,18,32,21,20,35,22,21,22,22,26,24,20,20,23,22,19,15,23,16,21,14,28,18,24,23,22,17,25,19,20,22,22,24,22,24,32,36,32,31,26,27,26,44,27,19,22,23,16,24,18,29,6,22,11,10,8,11,3,10,10,6,7,8,9,12,4,8,2,4,4,2,1,3,1,3,2,0,0,0,1
福安里,男,3,8,6,7,10,2,4,11,6,8,5,6,2,6,5,6,5,12,13,13,12,16,10,15,18,12,22,14,16,19,21,16,26,17,17,25,13,12,17,12,11,7,11,15,16,14,11,21,13,16,24,24,17,20,22,22,31,30,21,38,30,27,31,29,25,24,29,19,23,13,15,16,12,11,13,8,4,9,7,11,6,4,4,10,12,8,1,8,3,1,2,1,1,2,0,1,3,0,0,0,0
福安里,女,2,6,3,4,6,8,8,6,3,3,2,4,2,4,8,8,6,6,7,10,11,16,15,8,11,16,15,13,15,19,20,13,14,13,15,15,14,10,18,15,13,10,12,14,13,10,28,14,14,19,14,17,14,10,17,25,23,21,23,21,20,22,20,17,17,16,15,17,19,16,13,14,8,8,8,7,7,6,7,11,7,14,7,9,11,12,5,15,10,3,6,7,5,2,4,3,2,0,0,0,0
復興里,男,2,5,2,4,4,0,0,3,0,1,2,0,1,1,4,2,2,4,6,3,8,3,7,7,4,5,6,10,2,7,8,9,6,8,7,2,4,4,6,6,5,3,8,11,7,8,10,9,3,7,8,7,9,17,9,5,17,7,9,16,11,15,7,17,9,7,10,10,8,9,5,10,7,11,7,3,3,3,2,1,2,9,2,3,3,6,3,0,1,1,1,2,1,0,1,1,0,2,0,0,1
復興里,女,2,1,4,2,1,1,1,4,2,2,2,3,2,1,2,3,2,2,1,2,2,3,2,7,1,5,9,6,3,6,3,2,4,4,8,5,5,5,3,3,6,7,6,10,5,5,6,5,3,4,2,4,5,11,9,5,7,9,4,8,5,5,1,8,3,8,12,11,8,2,7,5,5,1,6,6,2,2,3,7,10,6,5,4,1,1,3,5,3,0,2,2,0,1,0,1,0,0,0,0,0
新峰里,男,2,2,2,4,2,5,1,2,1,2,3,4,0,2,2,5,0,4,5,6,3,6,6,7,4,7,6,10,6,5,5,5,3,6,2,3,5,1,6,6,2,9,6,7,9,12,8,5,14,3,10,5,9,13,8,15,10,12,5,11,9,12,10,10,5,7,6,11,7,2,4,3,7,2,0,3,3,7,4,3,2,4,6,4,3,5,3,1,0,0,3,1,1,0,1,0,0,0,0,0,0
新峰里,女,0,1,2,1,2,1,0,1,2,3,1,0,0,2,1,2,3,4,3,5,5,7,2,7,6,6,1,5,4,3,6,6,5,4,4,0,3,2,4,1,7,5,7,5,5,5,6,3,3,8,3,8,4,4,5,2,10,7,7,2,5,9,7,3,6,5,6,6,3,6,16,6,3,5,5,6,5,5,0,5,5,0,6,3,3,2,7,5,4,0,1,2,0,0,1,1,0,2,1,0,1
康安里,男,2,2,5,5,1,5,6,3,5,2,6,7,3,6,6,6,6,2,7,9,5,9,9,8,11,10,14,8,4,12,10,16,8,12,9,12,10,9,11,17,12,15,15,15,15,10,9,11,4,11,9,11,13,7,15,13,6,11,16,15,12,11,18,17,13,15,13,14,6,10,12,6,13,5,2,3,4,7,4,5,5,3,2,2,5,3,3,3,1,0,1,2,1,0,0,0,0,0,0,0,0
康安里,女,7,3,3,0,5,5,3,2,4,3,6,4,2,2,7,4,6,7,10,3,5,7,8,9,9,13,13,7,7,11,8,6,11,7,16,9,5,6,10,11,12,13,8,12,7,13,4,7,5,8,14,13,5,8,9,4,6,14,6,17,11,19,10,11,4,10,8,14,12,9,9,10,5,5,4,7,2,5,3,6,5,6,5,3,7,5,6,1,5,3,4,2,1,1,0,0,2,1,0,0,0
義和里,男,8,9,6,9,5,5,3,3,10,4,6,4,3,7,6,4,10,6,9,6,13,9,8,8,10,9,13,13,20,13,14,17,11,18,15,15,9,17,24,9,11,9,10,8,7,13,16,11,15,13,9,14,9,17,17,17,18,18,17,23,20,30,21,23,18,28,11,17,9,16,10,6,8,9,4,6,4,5,8,5,4,8,4,5,5,11,6,3,4,2,2,2,1,1,0,1,1,1,0,0,0
義和里,女,4,7,7,6,3,6,3,5,6,2,7,4,4,5,0,6,7,8,8,10,13,12,9,15,12,23,15,17,12,22,19,7,16,11,14,11,10,10,22,6,14,8,9,7,7,8,10,10,12,13,6,11,14,12,12,22,14,20,16,12,20,23,17,11,12,14,10,12,10,8,11,13,7,12,11,6,6,4,4,14,10,7,8,12,11,6,3,7,7,1,5,1,1,4,2,1,0,0,0,0,0
